dataset,pathway,n_stats,pw_size,overlap
SRP301469,M1,12976,200,1
SRP301469,M2a,12976,200,0
SRP301469,M2b,12976,43,0
SRP301469,M2c,12976,200,1
SRP345877,M1,13846,200,2
SRP345877,M2a,13846,200,0
SRP345877,M2b,13846,43,0
SRP345877,M2c,13846,200,2
SRP369109,M1,14413,200,2
SRP369109,M2a,14413,200,0
SRP369109,M2b,14413,43,0
SRP369109,M2c,14413,200,2
SRP484543,M1,12995,200,2
SRP484543,M2a,12995,200,0
SRP484543,M2b,12995,43,0
SRP484543,M2c,12995,200,2
lab_data,M1,16822,200,2
lab_data,M2a,16822,200,0
lab_data,M2b,16822,43,0
lab_data,M2c,16822,200,2
